,time,FR,ES,PT,GB,IT
315552,2016-01-01 00:00:00,0.125396,0.088464,0.202664,0.481357,0.039175
315553,2016-01-01 01:00:00,0.098263,0.10404400000000001,0.21323699999999998,0.42516800000000005,0.038339
315554,2016-01-01 02:00:00,0.082048,0.124367,0.231632,0.366728,0.03634
315555,2016-01-01 03:00:00,0.074018,0.14661,0.252515,0.309818,0.034714
315556,2016-01-01 04:00:00,0.072999,0.171163,0.27261199999999997,0.267806,0.03338
315557,2016-01-01 05:00:00,0.082457,0.200093,0.29794899999999996,0.255338,0.031241
315558,2016-01-01 06:00:00,0.102623,0.25031,0.345977,0.256187,0.028797000000000003
315559,2016-01-01 07:00:00,0.12846300000000002,0.302822,0.454459,0.263024,0.023655000000000002
315560,2016-01-01 08:00:00,0.15182400000000001,0.346493,0.533483,0.283952,0.014700999999999999
315561,2016-01-01 09:00:00,0.16886800000000002,0.352194,0.635206,0.31299,0.009281999999999999
315562,2016-01-01 10:00:00,0.20629899999999998,0.434062,0.666304,0.336282,0.011864
315563,2016-01-01 11:00:00,0.248102,0.52189,0.7175779999999999,0.372475,0.019344999999999998
315564,2016-01-01 12:00:00,0.283294,0.560585,0.8148489999999999,0.421515,0.025147
315565,2016-01-01 13:00:00,0.314713,0.586498,0.8162699999999999,0.47863,0.027155000000000002
315566,2016-01-01 14:00:00,0.33345,0.585634,0.787046,0.542565,0.026524000000000002
315567,2016-01-01 15:00:00,0.384909,0.548219,0.780324,0.6061840000000001,0.027613
315568,2016-01-01 16:00:00,0.440779,0.531469,0.692807,0.654335,0.024338
315569,2016-01-01 17:00:00,0.472253,0.541396,0.585733,0.696533,0.019421
315570,2016-01-01 18:00:00,0.49643000000000004,0.5430020000000001,0.46573000000000003,0.726383,0.015248
315571,2016-01-01 19:00:00,0.5205,0.54519,0.418274,0.758575,0.014041
315572,2016-01-01 20:00:00,0.532597,0.53781,0.390302,0.781774,0.016392
315573,2016-01-01 21:00:00,0.521783,0.523976,0.340994,0.7985760000000001,0.022162
315574,2016-01-01 22:00:00,0.520462,0.5271560000000001,0.348111,0.800021,0.031010000000000003
315575,2016-01-01 23:00:00,0.515967,0.533157,0.321903,0.800118,0.040975
315576,2016-01-02 00:00:00,0.501384,0.528908,0.279856,0.791587,0.050525
315577,2016-01-02 01:00:00,0.484917,0.5083270000000001,0.301638,0.773556,0.060382000000000005
315578,2016-01-02 02:00:00,0.468999,0.48694799999999994,0.312235,0.7549359999999999,0.07230299999999999
315579,2016-01-02 03:00:00,0.458671,0.46349799999999997,0.32471500000000003,0.732924,0.081177
315580,2016-01-02 04:00:00,0.466471,0.43890200000000007,0.306431,0.707992,0.089782
315581,2016-01-02 05:00:00,0.471973,0.411894,0.253454,0.676525,0.10011
315582,2016-01-02 06:00:00,0.476879,0.383419,0.191135,0.637714,0.11230899999999999
315583,2016-01-02 07:00:00,0.4804,0.35535,0.13538599999999998,0.6123430000000001,0.121049
315584,2016-01-02 08:00:00,0.48251099999999997,0.331376,0.109963,0.585781,0.11508199999999999
315585,2016-01-02 09:00:00,0.489033,0.350308,0.061888,0.565673,0.147974
315586,2016-01-02 10:00:00,0.508795,0.44104399999999994,0.107706,0.544166,0.168467
315587,2016-01-02 11:00:00,0.5635600000000001,0.49218900000000004,0.122628,0.519892,0.181285
315588,2016-01-02 12:00:00,0.607244,0.510429,0.126085,0.503368,0.183358
315589,2016-01-02 13:00:00,0.62147,0.500624,0.137457,0.481494,0.171775
315590,2016-01-02 14:00:00,0.611317,0.45601400000000003,0.092722,0.466504,0.17053
315591,2016-01-02 15:00:00,0.6011479999999999,0.38551399999999997,0.059846,0.46251000000000003,0.197183
315592,2016-01-02 16:00:00,0.599636,0.31403200000000003,0.054948000000000004,0.45926000000000006,0.243706
315593,2016-01-02 17:00:00,0.583817,0.266468,0.061038999999999996,0.451614,0.29828899999999997
315594,2016-01-02 18:00:00,0.581032,0.233798,0.07088,0.439217,0.343465
315595,2016-01-02 19:00:00,0.574317,0.218796,0.087491,0.42753800000000003,0.382228
315596,2016-01-02 20:00:00,0.547713,0.220546,0.12032999999999999,0.425857,0.41929700000000003
315597,2016-01-02 21:00:00,0.511355,0.229264,0.17583800000000002,0.430242,0.444225
315598,2016-01-02 22:00:00,0.47630600000000006,0.24689,0.209761,0.43423100000000003,0.46071599999999996
315599,2016-01-02 23:00:00,0.435353,0.288774,0.23404899999999998,0.441017,0.473166
